纬度：4047.533,经度：11141.856,日期：17年05月10日,时间：01时32分38秒,海拔：1108米
,纬度：4047.623,经度：11141.734,日期：17年05月10日,时间：01时34分12秒,海拔：1058米
,纬度：4047.623,经度：11141.734,日期：17年05月10日,时间：01时34分13秒,海拔：1058米
,纬度：4047.624,经度：11141.734,日期：17年05月10日,时间：01时34分14秒,海拔：1058米
,纬度：4047.624,经度：11141.733,日期：17年05月10日,时间：01时34分15秒,海拔：1058米
,纬度：4047.626,经度：11141.733,日期：17年05月10日,时间：01时34分16秒,海拔：1058米
,纬度：4047.626,经度：11141.733,日期：17年05月10日,时间：01时34分17秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分18秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分19秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分20秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分21秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分22秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分23秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分24秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分25秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分26秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分27秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分28秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分29秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分30秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分31秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分32秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分33秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分34秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分35秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分36秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分37秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分38秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分39秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分40秒,海拔：1058米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分41秒,海拔：1057米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分42秒,海拔：1057米
,纬度：4047.627,经度：11141.733,日期：17年05月10日,时间：01时34分43秒,海拔：1057米
,纬度：4047.628,经度：11141.732,日期：17年05月10日,时间：01时34分44秒,海拔：1058米
,纬度：4047.628,经度：11141.732,日期：17年05月10日,时间：01时34分45秒,海拔：1057米
,纬度：4047.628,经度：11141.732,日期：17年05月10日,时间：01时34分46秒,海拔：1057米
,纬度：4047.629,经度：11141.731,日期：17年05月10日,时间：01时34分47秒,海拔：1057米
,纬度：4047.630,经度：11141.731,日期：17年05月10日,时间：01时34分48秒,海拔：1057米
,纬度：4047.631,经度：11141.729,日期：17年05月10日,时间：01时34分49秒,海拔：1057米
,纬度：4047.633,经度：11141.729,日期：17年05月10日,时间：01时34分50秒,海拔：1057米
,纬度：4047.635,经度：11141.727,日期：17年05月10日,时间：01时34分51秒,海拔：1058米
,纬度：4047.637,经度：11141.726,日期：17年05月10日,时间：01时34分52秒,海拔：1058米
,纬度：4047.640,经度：11141.724,日期：17年05月10日,时间：01时34分53秒,海拔：1058米
,纬度：4047.642,经度：11141.722,日期：17年05月10日,时间：01时34分54秒,海拔：1058米
,纬度：4047.645,经度：11141.721,日期：17年05月10日,时间：01时34分55秒,海拔：1058米
,纬度：4047.647,经度：11141.720,日期：17年05月10日,时间：01时34分56秒,海拔：1058米
,纬度：4047.649,经度：11141.719,日期：17年05月10日,时间：01时34分57秒,海拔：1058米
,纬度：4047.651,经度：11141.718,日期：17年05月10日,时间：01时34分58秒,海拔：1058米
,纬度：4047.654,经度：11141.717,日期：17年05月10日,时间：01时34分59秒,海拔：1058米
,纬度：4047.657,经度：11141.716,日期：17年05月10日,时间：01时35分00秒,海拔：1058米
,纬度：4047.660,经度：11141.715,日期：17年05月10日,时间：01时35分01秒,海拔：1057米
